NAME,Tipo de Pesticida,No.
Clc1c(C(=O)[O-])c(Cl)ccc1Cl,Herbicida,1
Clc1cc(Cl)ccc1OCC(=O)[O-],Herbicida,2
Clc1cc(Cl)ccc1OCCCC(=O)[O-],Herbicida,3
ClCC(=O)N(COCC)c1c(cccc1C)CC,Herbicida,4
Clc1cc(ccc1Oc1cc(C(=O)[O-])c([N+](=O)[O-])cc1)C(F)(F)F,Herbicida,5
Clc1c(N)c([N+](=O)[O-])ccc1Oc1ccccc1,Herbicida,6
ClCC(=O)N(COC)c1c(cccc1CC)CC,Herbicida,7
O=C\1[C@H](C(OC)=O)C(CC(=O)/C/1=C(/NOCC=C)\CCC)(C)C,Herbicida,8
S(C)c1nc(nc(n1)NCC)NC(C)C,Herbicida,9
S(=O)(=O)(N(S(=O)([O-])=NC(=O)Nc1nc(OC)cc(OC)n1)C)C,Herbicida,10
[nH]1ncnc1N,Herbicida,11
Clc1nc(nc(n1)NCC)NC(C)C,Herbicida,12
Clc1cc(Cl)c(OCC#C)cc1N1N=C2N(CCCC2)C1=O,Herbicida,13
S(=O)([O-])(=NC(=O)Nc1nc(OC)cc(OC)n1)c1n(ncc1-c1nn(nn1)C)C,Herbicida,14
Fc1ccc(O[C@@H](CC)C(=O)NCc2ccccc2)cc1C(F)(F)F,Herbicida,15
Clc1c2N(CC(=O)[O-])C(Sc2ccc1)=O,Herbicida,16
FC(F)(F)c1cc([N+](=O)[O-])c(N(CCCC)CC)c([N+](=O)[O-])c1,Herbicida,17
S(Oc1cc2c(OCC2(C)C)cc1)(=O)(=O)CC,Herbicida,18
S(=O)([O-])(=NC(=O)Nc1nc(OC)cc(OC)n1)Cc1ccccc1C(OC)=O,Herbicida,19
S(=O)(=O)(NCCSP(=S)(OC(C)C)OC(C)C)c1ccccc1,Herbicida,20
S1(=O)(=O)Nc2c(cccc2)C(=O)N1C(C)C,Herbicida,21
Clc1cc(Cl)ccc1Oc1cc(C(OC)=O)c([N+](=O)[O-])cc1,Herbicida,22
O(c1cccc(Oc2nc(OC)cc(OC)n2)c1C(=O)[O-])c1nc(OC)cc(OC)n1,Herbicida,23
BrC=1C(=O)N([C@H](CC)C)C(=O)NC=1C,Herbicida,24
BrC1=CC(C=C(Br)C1=O)=CNOc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],Herbicida,25
Brc1cc(cc(Br)c1O)C#N,Herbicida,26
ClCC(=O)N(COCCCC)c1c(cccc1CC)CC,Herbicida,27
O=[N+]([O-])c1cc(cc([N+](=O)[O-])c1N[C@H](CC)C)C(C)(C)C,Herbicida,28
S(CC)C(=O)N(CC(C)C)CC(C)C,Herbicida,29
Clc1cc(F)c(N2N=C(N(C(F)F)C2=O)C)cc1C[C@H](Cl)C(OCC)=O,Herbicida,30
Clc1cc(Cl)ccc1Oc1cc(OC)c([N+](=O)[O-])cc1,Herbicida,31
Clc1c(cc(Cl)cc1N)C(=O)[O-],Herbicida,32
Brc1ccc(NC(=O)N(OC)C)cc1Cl,Herbicida,33
